file_off	va	section	xref	len	text
0x178	0x0	?	19889	5	.text
0x19f	0x0	?	19889	7	`.rdata
0x1c7	0x0	?	19889	6	@.data
0x1f0	0x0	?	19889	6	.idata
0x218	0x0	?	19889	5	.rsrc
0x23f	0x0	?	19889	7	@.reloc
0x4e1	0x4010e1	.text	0	4	h06M
0x4e6	0x4010e6	.text	0	4	h,6M
0x8bf	0x4014bf	.text	0	4	h06M
0x8c4	0x4014c4	.text	0	4	h,6M
0x948	0x401548	.text	0	5	Php\^
0x974	0x401574	.text	0	5	Php\^
0xbcc	0x4017cc	.text	0	4	=tkM
0xbe3	0x4017e3	.text	0	4	=tkM
0xc81	0x401881	.text	0	5	Php\^
0xd45	0x401945	.text	0	5	Php\^
0xd9f	0x40199f	.text	0	5	Php\^
0xdf3	0x4019f3	.text	0	5	Php\^
0xe38	0x401a38	.text	0	5	Php\^
0xeb9	0x401ab9	.text	0	5	Php\^
0xeed	0x401aed	.text	0	5	Php\^
0xf64	0x401b64	.text	0	5	Php\^
0xf98	0x401b98	.text	0	5	Php\^
0xfd3	0x401bd3	.text	0	5	Php\^
0x11c8	0x401dc8	.text	0	5	Php\^
0x121a	0x401e1a	.text	0	5	Ph0#P
0x1260	0x401e60	.text	0	6	@Ph0#P
0x12ad	0x401ead	.text	0	5	Ph0#P
0x12c5	0x401ec5	.text	0	5	Ph0#P
0x12dd	0x401edd	.text	0	5	Ph0#P
0x1335	0x401f35	.text	0	5	Ph0#P
0x138d	0x401f8d	.text	0	5	Ph0#P
0x13e5	0x401fe5	.text	0	5	Ph0#P
0x143d	0x40203d	.text	0	5	Ph0#P
0x1479	0x402079	.text	0	5	Ph0#P
0x14b5	0x4020b5	.text	0	5	Ph0#P
0x14f1	0x4020f1	.text	0	5	Ph0#P
0x152d	0x40212d	.text	0	5	Ph0#P
0x1569	0x402169	.text	0	5	Ph0#P
0x15a5	0x4021a5	.text	0	5	Ph0#P
0x164a	0x40224a	.text	0	4	SVWh
0x1654	0x402254	.text	0	4	h0#P
0x1ae9	0x4026e9	.text	0	5	Php\^
0x1b15	0x402715	.text	0	5	Php\^
0x1c8e	0x40288e	.text	0	5	Php\^
0x1ce0	0x4028e0	.text	0	5	Ph0#P
0x1d26	0x402926	.text	0	6	@Ph0#P
0x1d5e	0x40295e	.text	0	5	Ph0#P
0x1d76	0x402976	.text	0	5	Ph0#P
0x1d8e	0x40298e	.text	0	5	Ph0#P
0x1da6	0x4029a6	.text	0	5	Ph0#P
0x1dbe	0x4029be	.text	0	5	Ph0#P
0x1e72	0x402a72	.text	0	4	h0#P
0x1f07	0x402b07	.text	0	5	Php\^
0x1f48	0x402b48	.text	0	5	Php\^
0x20b9	0x402cb9	.text	0	5	Php\^
0x20ea	0x402cea	.text	0	5	Php\^
0x2162	0x402d62	.text	0	4	h0#P
0x2179	0x402d79	.text	0	5	Ph0#P
0x2191	0x402d91	.text	0	5	Ph0#P
0x21a9	0x402da9	.text	0	5	Ph0#P
0x21c1	0x402dc1	.text	0	5	Ph0#P
0x21d9	0x402dd9	.text	0	5	Ph0#P
0x21f1	0x402df1	.text	0	5	Ph0#P
0x2221	0x402e21	.text	0	5	Ph0#P
0x2239	0x402e39	.text	0	5	Ph0#P
0x2251	0x402e51	.text	0	5	Ph0#P
0x2296	0x402e96	.text	0	5	Ph0#P
0x22ae	0x402eae	.text	0	5	Ph0#P
0x22c6	0x402ec6	.text	0	5	Ph0#P
0x22de	0x402ede	.text	0	5	Ph0#P
0x230b	0x402f0b	.text	0	4	h0#P
0x232f	0x402f2f	.text	0	5	Ph0#P
0x2354	0x402f54	.text	0	5	Ph0#P
0x2379	0x402f79	.text	0	5	Ph0#P
0x2391	0x402f91	.text	0	5	Ph0#P
0x23be	0x402fbe	.text	0	4	h0#P
0x23d5	0x402fd5	.text	0	5	Ph0#P
0x23ed	0x402fed	.text	0	5	Ph0#P
0x2405	0x403005	.text	0	5	Ph0#P
0x241d	0x40301d	.text	0	5	Ph0#P
0x2435	0x403035	.text	0	5	Ph0#P
0x244d	0x40304d	.text	0	5	Ph0#P
0x2465	0x403065	.text	0	5	Ph0#P
0x247d	0x40307d	.text	0	5	Ph0#P
0x2495	0x403095	.text	0	5	Ph0#P
0x24ad	0x4030ad	.text	0	5	Ph0#P
0x24c5	0x4030c5	.text	0	5	Ph0#P
0x24dd	0x4030dd	.text	0	5	Ph0#P
0x24f5	0x4030f5	.text	0	5	Ph0#P
0x250d	0x40310d	.text	0	5	Ph0#P
0x2527	0x403127	.text	0	4	h0#P
0x267d	0x40327d	.text	0	5	Php\^
0x26c6	0x4032c6	.text	0	4	h0#P
0x281e	0x40341e	.text	0	5	Php\^
0x2861	0x403461	.text	0	5	Ph0#P
0x2904	0x403504	.text	0	5	x_Ax@
0x2928	0x403528	.text	0	4	h0#P
0x294d	0x40354d	.text	0	5	Php\^
0x2996	0x403596	.text	0	4	h0#P
0x2a4b	0x40364b	.text	0	5	Php\^
0x2a7f	0x40367f	.text	0	5	Php\^
0x2ab3	0x4036b3	.text	0	5	Php\^
0x2af4	0x4036f4	.text	0	5	Php\^
0x2ccf	0x4038cf	.text	0	5	Php\^
0x2f5b	0x403b5b	.text	0	5	Php\^
0x2f8f	0x403b8f	.text	0	5	Php\^
0x3002	0x403c02	.text	0	5	Php\^
0x3036	0x403c36	.text	0	5	Php\^
0x3077	0x403c77	.text	0	5	Php\^
0x31db	0x403ddb	.text	0	5	Php\^
0x36c3	0x4042c3	.text	0	5	Php\^
0x3701	0x404301	.text	0	5	Php\^
0x373f	0x40433f	.text	0	5	Php\^
0x38d1	0x4044d1	.text	0	5	Php\^
0x390f	0x40450f	.text	0	5	Php\^
0x3953	0x404553	.text	0	5	Php\^
0x3987	0x404587	.text	0	5	Php\^
0x3a9f	0x40469f	.text	0	5	Php\^
0x3d61	0x404961	.text	0	5	Php\^
0x3d95	0x404995	.text	0	5	Php\^
0x3e7c	0x404a7c	.text	0	5	Php\^
0x3ecd	0x404acd	.text	0	5	Php\^
0x3f01	0x404b01	.text	0	5	Php\^
0x4060	0x404c60	.text	0	5	Php\^
0x4222	0x404e22	.text	0	5	Php\^
0x4263	0x404e63	.text	0	5	Php\^
0x43ad	0x404fad	.text	0	5	Php\^
