scn	campaign	order	title_en	title_zh	date	category	brief_zh
MADRID	CAMP1	1	Madrid Offensive	馬德里攻勢	1938-12-23	real	瓜達拉哈拉方向試探性攻勢,西班牙內戰場景,德國兀鷹軍團參戰
CIECHAN	CAMP1	2	Ciechanow	切哈努夫	1939-09-05	real	入侵波蘭開戰第一週,德軍向切哈努夫、姆瓦瓦推進
SUOMUSS	CAMP1	3	Suomussalmi	蘇奧穆薩爾米	1939-12-24	real	冬季戰爭,德軍以「志願軍」身分参戰(史實上德國未參戰,屬遊戲虛構安排)
LILLEHAM	CAMP1	4	Lillehammer	利勒哈默爾	1940-04-20	real	德軍入侵挪威,向中部利勒哈默爾峽谷推進
SEDAN	CAMP1	5	Sedan	色當	1940-05-13	real	曼施坦因計畫核心一擊,古德里安裝甲軍團突破阿登森林強渡默茲河
RTD	CAMP1	6	Race To Dunkirk	搶攻敦克爾克	1940-05-21	real	德軍裝甲兵團競速搶占敦克爾克港,企圖切斷英法聯軍退路
THERMOPY	CAMP1	7	Thermopylae	溫泉關	1941-04-17	real	巴爾幹戰役,德軍在溫泉關隘口對陣紐澳軍團
WINDSOR	CAMP1	8	Windsor	溫莎	1940-09-01	alt-history	架空:假設德軍成功搶灘英國本土後,向溫莎推進切斷倫敦對外聯繫
PTT	CAMP1	9	Pursuit to Tobruk	托布魯克追擊戰	1941-04-01	real	北非戰場,德義聯軍將英軍逐退至托布魯克
TOBRUK	CAMP1	10	Tobruk	托布魯克	1941-04-08	real	隆美爾部隊圍攻托布魯克要塞
MALTA	CAMP1	11	Malta	馬爾他	1941-05-24	alt-history	架空:對應史實中規劃卻從未執行的「大力神作戰」德義空降奪島計畫
KISHINEV	CAMP1	12	Kishinev	基希涅夫	1941-07-09	real	巴巴羅薩開戰南翼,德軍協助羅馬尼亞盟軍收復比薩拉比亞基希涅夫
NOVGOROD	CAMP1	13	Novgorod	諾夫哥羅德	1941-08-15	real	諾夫哥羅德以南斯塔拉亞魯薩方向,列寧格勒與莫斯科間的交通樞紐爭奪
VOLOKOL	CAMP1	14	Volokolamsk	沃洛科拉姆斯克公路	1941-10-25	real	莫斯科會戰,德軍沿沃洛科拉姆斯克公路突進
KLIN	CAMP1	15	Klin	克林	1941-11-15	real	莫斯科會戰尾聲,德軍試圖從克林合圍莫斯科
WINDSOR1	CAMP1	16	Windsor	溫莎(續戰)	1943-04-01	alt-history	架空:溫莎戰役的高難度重演版本,循更高勝利等級分支抵達
SAVANNAH	CAMP1	17	Savannah	薩凡納	1944-06-06	alt-history	架空:假設德軍登陸美國東岸,進逼薩凡納企圖攔腰切斷美國東部
OAKRIDGE	CAMP1	18	Oak Ridge	橡樹嶺	1944-09-07	alt-history	架空:德軍深入美國本土,直指橡樹嶺原子彈研發設施(曼哈頓計畫影射)
WINTER	CAMP1/CAMP2	19/1	Winter Storm	冬季風暴作戰	1942-12-12	real	德軍嘗試打通通往被圍第六軍團的補給線,呼應史實「冬季風暴作戰」
PROK1	CAMP1/CAMP2	20/2	Zitadelle	堡壘作戰	1943-07-05	real	庫斯克會戰北鉗,德軍第9軍團向普羅霍羅夫卡方向鉗擊
ANTISAL	CAMP1/CAMP2	21/3	Invasion Salerno	薩雷諾防禦戰(德方視角)	1943-09-11	real	德軍嘗試將薩雷諾灘頭盟軍逐回海裡
GCAEN	CAMP1/CAMP2	22/4	Drive to the Sea	逐退入海	1944-06-06	real	諾曼第登陸當日,德軍嘗試在卡昂方向重創盟軍灘頭
NORDWIND	CAMP1/CAMP2	23/5	Nordwind	北風作戰	1944-12-30	real	突出部之役尾聲,德軍在史特拉斯堡以北發動最後攻勢
KONRAD	CAMP1/CAMP2	24/6	Operation Konrad	康拉德作戰	1945-01-14	real	德軍嘗試解圍被蘇軍包圍的布達佩斯
SALERNO1	CAMP3	1	Salerno - Return To Europe	薩雷諾-重返歐陸	1943-09-27	real	美軍鞏固薩雷諾灘頭後向那不勒斯方向推進
